Id,Label,Category,#photos,#videos,#replies,#retweets,#likes
141,gmzshe,Other,0,0,0,0,11
142,sebebim2334,Other,0,0,0,0,1
143,ofnursery,Other,0,0,0,0,1
144,kurtuluskilinc,Other,1,0,0,0,0
145,semtinbankacisi,Other,0,0,0,0,0
146,topogluemre,Person,0,0,0,1,7
147,haticeerenbal,Other,1,0,0,2,8
148,yisyirigolcu,Other,0,0,0,0,7
149,myavuzozturk,Other,0,0,0,0,1
150,kirmizifiller,Other,0,0,0,0,0
151,sbltirnova,Other,0,0,0,0,2
152,bilalozcanbenim,Person,0,0,0,0,0
153,cemalcelik6501,Other,1,0,0,15,43
154,deanincest,Other,0,0,0,0,0
155,sakarnuman0718,Other,0,0,1,26,32
156,aysen_tok,Other,0,0,36,66,1016
157,dgv35m,Other,1,0,0,0,1
158,nermin_vardar,Other,0,0,0,0,0
159,d8org,Other,1,0,0,4,13
160,gsurfa63,Other,0,0,0,0,13
161,uluocakgulbeyaz,Other,0,0,0,0,1
162,mkd6161,Other,1,0,0,1,4
163,esrakrtprk,Person,0,0,0,0,15
164,soltarafim123,Other,0,0,0,0,1
165,duzenlisaliha,Person,0,1,1,1,3
166,seblas,Other,0,0,0,0,2
167,bwitchbrooke,Other,0,0,0,1,3
168,eskiweb,Other,0,0,0,1,3
169,fazilaytac,Other,0,0,0,0,0
170,ademmetan,Other,1,0,1,3,67
171,kirtay_55,Other,1,0,0,0,6
172,yavuzbagonu,Other,1,0,0,13,22
173,millidavaadami,Other,1,0,2,1,6
174,nemanaayku,Other,0,0,0,0,0
175,gokceosmanli,Other,1,0,0,3,10
176,murat90343536,Person,0,0,0,0,0
177,turgaytpl,Other,0,1,0,0,16
178,tumozelif,Person,1,0,0,0,0
179,depremdairesi,Earthquake,0,0,6,7,124
180,bbpgenelmerkez,Other,1,0,2,50,143
181,gencvahap,Other,1,0,0,0,2
182,esra_erucar,Person,1,0,15,58,139
183,selmakaraduman,Other,1,0,0,0,0
184,esra__vnl,Person,0,0,0,0,1
185,murtfdn,Other,1,0,0,0,1
186,baris30er,Other,0,0,0,0,3
187,neyinkafasibu,Other,0,0,0,0,2
188,saryemen,Other,0,0,0,0,1
189,profyusufbaran,Person,1,0,1,2,19
190,uck_prn,Other,0,0,0,1,2
191,iamsrht,Other,1,0,1,0,1
192,mvdsak,Other,0,0,1,0,1
193,enbursahaber,Media,1,0,0,1,0
194,ademabinizz,Other,1,0,0,0,0
195,musstafadogan,Institutional,1,0,0,0,0
196,fatma2334070,Other,1,0,0,0,0
197,sbtyng,Other,0,0,0,0,5
198,ahmetaka_42,Person,0,1,0,5,25
199,iipk,Other,0,0,0,0,0
200,muhammed_aksoz,Person,0,0,0,0,0
201,usta_1980,Other,0,0,1,2,10
202,taksi__dergisi,Media,0,1,29,60,79
203,eminzer07588283,Other,0,0,0,1,3
204,biracayipadam19,Other,1,0,0,0,1
205,hulyahulyab,Other,0,0,0,0,0
206,medhayalet,Other,1,0,0,1,8
207,ozgrkpln,Other,0,0,0,0,0
208,akgazeteturkiye,Media,1,0,0,0,4
209,vanlife65,Other,0,0,0,0,8
210,bulenttufenkci,Other,0,0,2,46,139
211,alpinkzn,Other,0,0,2,0,3
212,bluearmyy1966,Other,1,0,0,16,83
213,snguntac,Other,1,0,0,0,0
214,sonutubukucuu,Media,1,0,0,0,1
215,afadsen,Institutional,1,0,0,4,6
216,solomiomio1,Other,0,0,1,0,0
217,avbakirlioglu,Other,0,1,2,5,61
218,diyarsaglik,Other,1,0,0,2,16
219,demir_ah79,Other,0,0,0,6,13
220,gulsen_barkodat,Other,0,0,0,2,9
221,19_blackeagle03,Other,0,0,0,0,0
222,fortyeye,Other,0,0,2,6,24
223,aliyykurt,Person,0,0,0,0,37
224,bevvap,Other,0,0,2,0,1
225,erdalbashar,Other,0,0,0,0,0
226,ferhatkeremcck,Other,0,1,0,5,53
227,ahmetyi13121280,Person,1,0,0,5,7
228,life_by_digital,Other,0,0,0,0,1
229,ferdicevikk,Other,1,0,0,0,3
230,fuatozhan,Other,0,0,0,4,47
231,tr724,Other,0,0,0,8,9
232,mervetulunayy,Person,0,0,1,0,0
233,merveortauzun,Person,1,0,0,3,5
234,ekncmstf01,Other,1,0,0,0,11
235,serdarako21,Other,1,0,0,3,5
236,myasaryayla,Other,0,1,0,1,9
237,karapinartb,Other,1,0,0,0,4
238,ufukazbagmusic,Other,1,0,0,0,4
239,mehmetkaplan96,Person,1,0,0,0,29
240,ftm_fatma61,Other,1,0,0,0,0
241,kocaeliso,Other,1,0,0,2,23
242,gaziantepgm_,Other,0,0,0,0,33
243,neslihan_yildrm,Other,0,0,0,0,20
244,ftihklnc,Other,0,0,0,0,23
245,akdavart,Other,1,0,0,3,7
246,evdekaliniz,Person,0,1,0,0,0
247,__turiya,Other,1,0,0,0,1
248,zeynepsudeahi15,Person,0,0,0,0,16
249,gmz_alc,Other,0,0,0,0,28
250,aslancelal,Other,1,0,0,0,0
251,akgnbeyza0,Person,0,0,0,0,25
252,ibr_te,Other,0,0,0,0,25
253,medyaurfa,Media,0,0,0,2,8
254,halil_ircan,Person,0,0,1,1,5
255,bilal_gapay,Other,0,0,0,0,0
256,ahmetar00279624,Person,0,0,0,0,0
257,ekremmaktas,Other,0,0,0,1,9
258,mesutyavuz1951,Other,0,0,0,0,3
259,newnewnewnoww,Other,0,0,0,0,2
260,referansgazetes,Media,1,0,0,2,4
261,nazlbakr5,Other,0,0,0,0,23
262,entel1453,Other,1,0,5,12,69
263,eyup_suleyman,Other,1,0,0,0,2
264,akliselimynmhll,Other,1,0,0,5,6
265,omersalihunlu,Person,0,0,0,0,7
266,taniaktaniak,Other,0,0,1,0,0
267,mka01adnanoz,Other,0,0,0,0,0
268,busrakazk,Person,1,0,0,0,0
269,ajansturkasi,Media,0,0,0,0,0
270,muratkaratay2,Person,1,0,2,0,3
271,genckizilaymsgu,Institutional,1,0,0,0,1
272,skatiloz,Other,0,0,0,1,1
273,bilalaslan55,Other,1,0,3,23,35
274,rahvang,Other,0,0,0,0,0
275,etimesgutbld,Govermental,0,1,0,12,56
276,sungurogiu,Other,0,0,0,0,6
277,kml_krdnz,Other,1,0,0,0,6
278,1985merdinlii,Other,1,0,0,0,0
279,didakaymaz,Other,0,0,1,9,31
280,yrpeyupsultankk,Other,0,1,0,8,48
281,ebrusevilgen,Other,0,0,0,17,37
282,orhan1oruc,Person,0,0,0,1,11
283,tevfikmansiz,Other,0,0,1,0,0
284,arikanhandee,Other,0,0,0,0,1
285,sinaninci2023,Other,0,0,0,0,2
286,beyintrolll,Other,0,0,0,0,2
287,mayesilova,Other,0,0,0,0,1
288,refahbaskanl,Other,0,1,0,18,89
289,m_akgun56,Other,0,0,0,5,38
290,aysel87433999,Other,0,1,0,0,0
291,sukrumorgul53,Other,1,0,0,0,6
292,ismailalkaya21,Other,0,0,1,79,87
293,turansuleyman04,Other,1,0,0,3,24
294,kirklarelitb,Other,0,0,1,1,2
295,arasvtn,Other,1,0,0,0,7
296,plazaenteli,Other,1,0,0,0,4
297,diyarbakirghsim,Other,1,0,0,12,28
298,drsinanogan,Other,0,0,39,90,394
299,denizfeneriorg,Person,1,0,0,15,74
300,huseyinorhan027,Person,0,0,0,0,6
301,inceny1,Other,0,0,1,0,6
302,krtkulturtv,Media,0,1,0,20,54
303,ahmesk2,Other,1,0,0,0,0
304,esinylmztnrvrdi,Other,0,0,1,11,33
305,fzgokce,Other,0,0,0,8,10
306,elazigsaadet23,Other,1,0,0,15,75
307,hkn_tknc,Other,0,0,0,0,0
308,oguzhanhs,Other,0,0,0,0,6
309,gulsah__kinay,Other,0,0,1,0,10
310,ay2424sun,Other,0,0,0,0,1
311,urfangrss,Other,1,0,1,4,5
312,adem_akm,Other,0,0,0,0,0
313,hashaspati,Other,1,0,0,2,5
314,ertaufuk,Other,1,0,0,5,17
315,ruyet_ihilal,Other,0,0,0,0,0
316,nurullahkalay5,Other,0,0,0,0,2
317,genckizilay34c,Institutional,1,0,0,0,2
318,haber_t4,Media,0,0,0,2,8
319,resanarlier,Other,0,1,0,5,1
320,angara1525,Other,1,0,0,3,16
321,mcemozdemirtr,Other,1,0,1,5,24
322,sirnakvilayeti,Other,1,0,0,1,12
323,derinurfa,Other,0,0,0,0,2
324,3008_nr,Other,0,0,0,0,0
325,atayol1923,Other,0,0,0,3,67
326,mehmetmnv,Person,0,0,7,6,34
327,filizokullari,Institutional,0,1,0,1,4
328,uylmz_04,Other,1,0,0,1,5
329,seriusios,Other,0,0,2,0,0
330,whitedie6,Other,0,0,1,0,1
331,enerjimagazin2,Other,1,0,0,1,11
332,dogan_rumeysa,Other,1,0,0,0,3
333,yldzmurat08,Person,0,0,0,0,0
334,kumlucabld,Govermental,1,0,0,1,9
335,ayyasprenses,Other,0,0,0,0,1
336,srm_nn,Other,0,0,0,0,0
337,kesinliklebilal,Other,0,0,0,0,62
338,gztci_m,Other,0,0,0,1,4
339,marmara_ajans,Media,1,0,0,0,0
340,yuzbasi1905,Other,1,0,0,0,3
341,furkansener0,Person,0,0,0,0,0
342,ibrahimerdem,Person,1,0,0,2,3
343,blentce00750408,Other,1,0,0,0,0
344,genchaciko,Other,1,0,1,2,2
345,ahmethazerr,Person,0,1,2,5,70
346,kaanmete,Person,1,0,0,25,40
347,lutfibaskan,Other,1,0,0,0,5
348,mirze_ertas,Other,1,0,0,2,12
349,mehmetkazm53,Person,0,0,0,2,2
350,kubragunes_74,Person,1,0,0,1,6
